citystate,country,category,issue_type,tag_line,past_violation,ongoing_violation,respecting_restrictions,regulatory_deal,bannedexited,protest,strike,violence,drivers_organising,crackdown,legislation,lawsuit_court_ruling_or_prosecution,fare_cutcommission_increase,2_sentence_summary,outcome,actors,date_open,date_closed,link_1,extra_links,upcoming_flashpoint,notes,,lat,long,location
National,Saudi Arabia,Corporate citizenship,Corporate citizenship,Was criticised for taking money from Saudi Arabia,,,,,,,,,,,,,,"Uber was criticised for accepting a massive investment from a Saudi Arabia -controlled fund, over the Gulf monarchy's severe restriction of women's rights",,,,,https://skift.com/2016/06/04/saudi-women-voice-disapproval-of-saudi-arabias-investment-in-uber/,,,,,23.885942,45.079162,Saudi Arabia
Cleveland,USA,Corporate citizenship,Corporate citizenship,Didn't want to be seen as critical of Donald Trump,,,,,,,,,,,,,,"Uber pulled out of a deal to distribute a local magazine in Cleveland, Ohio during the Republican National Convention, after the magazine's issue prominently criticised Donald Trump",,,,,https://www.buzzfeed.com/carolineodonovan/uber-kills-rnc-alt-weekly-deal-over-anti-trump-cover,,,,,41.49932,-81.6943605,"Cleveland, USA"
National,USA,Corporate citizenship,Corporate citizenship,Talked about opposition research on critics,,,,,,,,,,,,,,"A senior Uber executive suggested that the company could hire opposition researchers to dig into the personal lives of critical journalists, and use the information to discredit them. The executive subsequently said he regretted the remarks, but subsequent reporting shown that Uber did hire a team of researchers at the firm Ergo to conduct opposition research.",,,,,http://www.buzzfeed.com/bensmith/uber-executive-suggests-digging-up-dirt-on-journalists,,,,,37.09024,-95.712891,USA
National,USA,Corporate citizenship,Corporate citizenship,Sabotaged competitors,,,,,,,,,,,,,,"Uber hired contractors to request rides from Lyft and recruit drivers, often leading to cancelled rides– in order to avoid detection – and low ratings. It called the program operation SLOG.",,,,,http://www.theverge.com/2014/8/26/6067663/this-is-ubers-playbook-for-sabotaging-lyft,http://www.theverge.com/2014/8/12/5994077/uber-cancellation-accusations / http://uk.businessinsider.com/lyft-driver-recruiting-tactics-criticized-2016-6?r=US&IR=T / http://thehustle.co/lyft-is-uber,,,,37.09024,-95.712891,USA
New Jersey,USA,Corporate citizenship,Corporate citizenship,Denied it used Twitter bots to campaign,,,,,,,,,,,,,,Uber has denied a report that Twitter bots were lobbying for it over a New Jersey bill,"Denial, no solid proof",,Jun-16,,http://www.ibtimes.com/twitter-bots-are-trying-keep-uber-new-jersey-2388146,,,,,40.0583238,-74.4056612,"New Jersey, USA"
New York,USA,Corporate citizenship,Corporate citizenship,Did opposition research on critics,,,,,,,,,,,,1,,"In the course of an anti-trust lawsuit, mentioned separately, it was alleged that an investigator working for Uber fraudulently misrepresented himself as a journalist in order to dig up information on both the plaintiff and his lawyer",,New York District Judge Rakoff,Jun-16,,http://www.reuters.com/article/us-uber-antitrust-idUSKCN0YU0F5,http://www.theverge.com/2016/7/10/12127638/uber-ergo-investigation-lawsuit-fraud-travis-kalanick / http://www.crainsnewyork.com/article/20160708/TECHNOLOGY/160709921/uber-un-redacts-its-response-to-snooping-charges / http://www.cnbc.com/2016/06/09/uber-hired-former-cia-officer-in-probe-of-lawsuit-opponent.html / http://www.cnbc.com/2016/07/25/judge-bans-uber-use-of-background-checks-in-ny-lawsuit.html,,,,40.7127837,-74.0059413,"New York, USA"
New York,USA,Corporate citizenship,Corporate citizenship,Agreed to a non-union form of driver representation,,,,,,,,,1,,,,,"In May 2016 Uber announced that it would recognise a drivers' group associated with the International Association of Machinists union. The five-year deal provided for monthly meetings, an appeals process, but attracted criticism because members would not be able to bargain formally with the company over fares, benefits and protections. The company also announced a separate series of talks over portable benefits for its drivers. A separate organisation, the Uber Drivers Network, said the new organisation sounded ""bogus"".",,,,,http://www.nytimes.com/2016/05/11/technology/uber-agrees-to-union-deal-in-new-york.html,http://www.bloomberg.com/news/articles/2016-05-10/uber-and-union-agree-to-form-drivers-guild-in-new-york-city / http://www.prweek.com/article/1402393/uber-drivers-guild-launches-tipping-campaign / http://gothamist.com/2016/07/11/uber_drivers_are_campaigning_for_a.php / http://observer.com/2016/05/ubers-quasi-union-could-be-a-faustian-bargain-for-drivers/,,,,40.7127837,-74.0059413,"New York, USA"
Seattle,USA,Corporate citizenship,Corporate citizenship,Did opposition research on critics,,,,,,,,,1,,,,,"Uber commissioned a CIA linked research firm to investigate union politics in Seattle, in the wake of legislation that allowed ride hailing drivers to unionise",,,,,http://www.theverge.com/2016/7/29/12314544/uber-ergo-seattle-union-investigation-politics-teamsters,,,,,47.6062095,-122.3320708,"Seattle, USA"
Austin,USA,Corporate citizenship,Data issues,Didn't want to share data,,,,,,,,,,,,,,"One of the issues over which Uber pulled out of Austin, Texas, was a data reporting requirement endorsed by municipal referendum",,,,,https://nextcity.org/daily/entry/austin-public-transportation-after-uber,http://www.austintexas.gov/edims/document.cfm%3Fid=245769,,,,30.267153,-97.7430608,"Austin, USA"
Boston,USA,Corporate citizenship,Data issues,Didn't share useful data,,,,,,,,,,,,,,"An information sharing agreement between Uber and Boston has so far been a disappointment to the city, which has been unable to extract usable conclusions to inform city planning from the data.",,,,,https://www.boston.com/news/business/2016/06/16/bostons-uber-partnership-has-not-lived-up-to-promise,,,,,42.3600825,-71.0588801,"Boston, USA"
